id,from,to,scope,lens,label,text,persons,approx
e1911,1911,1912,national,politics,End of the empire,The Xinhai Revolution ends the Qing dynasty; the Republic of China is founded in 1912.,,
e1937,1937,1945,national,war,War against Japan,"Fighting reaches Changde, the prefecture that includes Taoyuan, in 1943. Many families flee west into the mountains.",,
e1945,1945,1945,national,war,Battle of West Hunan,Japan's last major offensive in Hunan is fought in the west of the province from April to June 1945.,,
e1949,1949,1949,national,politics,Liberation of Changde and Taoyuan,"The People's Republic is founded in October 1949. The counties around Changde, Taoyuan among them, come under the new government between mid-July and early August 1949.",,
e1950b,1950,1950,national,land reform,Rent and interest reduction,"Before land redistribution, rents and loan interest owed to landlords are cut.",,
e1950,1950,1952,national,land reform,Land reform,Hunan's land reform runs from the winter of 1950 to the spring of 1952. Land is redistributed and every rural household receives a class label.,,
e1953,1953,1957,national,industrialization,First Five-Year Plan,State-led heavy industry. Wuhan becomes a major base for steel and construction; the Wuhan Yangtze River Bridge opens in 1957.,,
e1955w,1955,1958,national,industrialization,Building Wuhan Iron and Steel,"From October 1955 about 100,000 builders from across China arrive in Wuhan to build its steel works, backed by 18 provinces, 45 cities and more than 1,000 factories. The first blast furnace produces iron in September 1958.",,
e1958,1958,1958,national,urbanization,Household registration rules,The 1958 hukou regulations fix each person as rural or urban and sharply limit moves from countryside to city.,,
e1958b,1958,1983,national,land reform,People's communes,Rural land and labour are organized into collectives until the early 1980s.,,
e1961,1961,1963,national,urbanization,Workers sent back to the land,"From 1961 to mid-1963 the state cuts 18.87 million workers and reduces the urban population by 26 million, mostly people recruited from the countryside since 1958.",,
e1966,1966,1976,national,politics,Cultural Revolution,Families with a landlord label remain under political pressure.,,
e1977,1977,1977,national,education,University entrance exam returns,The national gaokao is restored after eleven years.,,
e1978,1978,1978,national,industrialization,Reform and opening,Market reforms begin; the economy starts decades of fast growth.,,
e1982,1981,1984,national,land reform,Rural reform and restitution,"Collectives give way to household farming, and restitution policies return some confiscated property.",,
e1998,1998,1998,national,urbanization,Housing reform,"Work-unit housing ends; city homes become purchases, usually with a mortgage.",,
e1999,1999,1999,national,education,University expansion,University enrolment expands rapidly.,,
e2001,2001,2001,national,industrialization,WTO accession,China joins the World Trade Organization.,,
e2011,2011,2011,national,urbanization,Urban majority,"For the first time, more than half of China's population lives in cities.",,
f1910,1910,1910,family,family,Great-grandfather Li born,Born in the countryside of Taoyuan County.,hanqing,
f1930,1928,1942,family,family,Estate grows,"With higher education and his parents' savings, he expands the family farmland; the household becomes a known landlord family.",hanqing,True
f1939,1939,1939,family,family,Grandfather Li born,"The eldest son is born in the home village, in the middle of the war.",zhiyuan,
f1944,1944,1944,family,education,Private school,"At five, the eldest son starts at a private school in the home village.",zhiyuan,
f1945a,1945,1945,family,war,Six months as refugees,"The family flees to Cili County for about half a year, leaving its property behind.",hanqing;zhiyuan,
f1945,1946,1949,family,family,Home again,"Back in Taoyuan, the family runs its property again and the eldest son returns to private school, then primary school.",hanqing;zhiyuan,
f1951,1951,1951,family,land reform,Confiscation and imprisonment,"Land reform reaches the family. The property is confiscated, the household is left bankrupt, and Great-grandfather Li is imprisoned. His son finishes primary school and leaves for middle school in Changde.",hanqing;zhiyuan;zhiqing;zhiping;zhilan;zhikang;zhimei,
f1955,1955,1955,family,education,"College, and release","The eldest son, sixteen, enters an engineering college in Wuhan. The same year his father is released from prison and returned to Taoyuan for three years of labour reform.",zhiyuan;hanqing,
f1956,1956,1956,family,education,Eldest daughter to Changsha,The eldest daughter leaves to study in Changsha. The four younger siblings stay and farm.,zhiqing;zhiping;zhilan;zhikang;zhimei,True
f1959,1959,2000,family,industrialization,Forty-one years in steel,"Grandfather Li joins a steel plant in Ezhou as a technician and rises to senior engineer in building design, construction, and management, retiring in 2000.",zhiyuan,
f1963,1963,1981,family,land reform,Eighteen years of silence,"Because of his father's history, Grandfather Li cuts off contact with his family in Taoyuan. They do not speak again until 1981.",zhiyuan;hanqing,
f1973,1973,1973,family,family,Third generation born,The eldest son's children are born in Ezhou.,g3;zhiyuan,
f1981,1981,1981,family,land reform,"Status restored, contact resumed",Great-grandfather Li's status is restored and he retires. His son reconnects with the family after eighteen years.,hanqing;zhiyuan,
f1982,1982,1982,family,land reform,Property partly returned,Part of the property is returned and the family moves into the local town.,zhikang;zhimei;zhiping,True
f1991,1991,1991,family,urbanization,Ezhou to Wuhan,The third generation moves to the provincial capital and settles there.,g3,
f2000,1998,2026,family,urbanization,Urban middle class,The third generation's careers grow with the economy in Wuhan.,g3,
f2021,2022,2026,family,education,Study abroad,"With family support, the fourth generation studies in Canada: Montreal in 2022, Stanstead in 2023, Waterloo in 2026.",g4;g3,False
