source,target,type
hanqing,zhiyuan,parent
hanqing,zhiqing,parent
hanqing,zhiping,parent
hanqing,zhilan,parent
hanqing,zhikang,parent
hanqing,zhimei,parent
hanqing,lostson,parent
zhiyuan,g3,parent
g3,g4,parent
hanqing,clan,member
hanqing,villagecom,member
zhiping,villagecom,member
zhilan,villagecom,member
zhikang,villagecom,member
zhimei,villagecom,member
zhiqing,unichangsha,studied
g3,workwuhan,worked
g4,schoolabroad,studied
zhiyuan,schoolchangde,studied
zhiyuan,uniwuhan,studied
zhiyuan,steelplant,worked
zhiyuan,hanqing,cut off contact
