代际,分析维度,关键词,挖掘次数
第二代,恐惧 / 风险,成分,23
第二代,恐惧 / 风险,地主,18
第二代,恐惧 / 风险,没收,15
第二代,恐惧 / 风险,政治,12
第二代,恐惧 / 风险,困难,19
第二代,恐惧 / 风险,破产,9
第二代,恐惧 / 风险,失学,6
第二代,恐惧 / 风险,劳教,11
第二代,恐惧 / 风险,断绝联系,8
第二代,恐惧 / 风险,战争,10
第二代,流动 / 向上,读书,67
第二代,流动 / 向上,学习,42
第二代,流动 / 向上,大学,28
第二代,流动 / 向上,考试,18
第二代,流动 / 向上,学校,25
第二代,流动 / 向上,知识,12
第二代,流动 / 向上,技术,17
第二代,流动 / 向上,专业,13
第二代,流动 / 向上,工作,48
第二代,流动 / 向上,工程,21
第二代,流动 / 向上,建筑,18
第二代,流动 / 向上,工厂,16
第二代,迁徙,桃源,46
第二代,迁徙,武汉,31
第二代,迁徙,常德,22
第二代,迁徙,慈利,13
第二代,迁徙,长沙,8
第二代,迁徙,鄂州,30
第二代,迁徙,逃难,9
第二代,迁徙,离开,16
第二代,迁徙,求学,27
第二代,迁徙,回家/回乡,14
第二代,迁徙,联系,19
第二代,历史 / 社会变化,抗日战争,11
第二代,历史 / 社会变化,解放,13
第二代,历史 / 社会变化,土地改革,21
第二代,历史 / 社会变化,减租减息,8
第二代,历史 / 社会变化,阶级斗争,10
第二代,历史 / 社会变化,政治运动,9
第二代,历史 / 社会变化,落实政策,7
第三代,恐惧 / 风险,稳定,38
第三代,恐惧 / 风险,工作,52
第三代,恐惧 / 风险,失业,8
第三代,恐惧 / 风险,收入,26
第三代,恐惧 / 风险,住房,23
第三代,恐惧 / 风险,房子,29
第三代,恐惧 / 风险,房价,11
第三代,恐惧 / 风险,孩子教育,16
第三代,恐惧 / 风险,养老,12
第三代,恐惧 / 风险,竞争,9
第三代,流动 / 向上,工作,61
第三代,流动 / 向上,教育,39
第三代,流动 / 向上,读书,31
第三代,流动 / 向上,大学,27
第三代,流动 / 向上,高考,19
第三代,流动 / 向上,城市,24
第三代,流动 / 向上,工资,21
第三代,流动 / 向上,收入,25
第三代,流动 / 向上,发展,22
第三代,流动 / 向上,机会,17
第三代,流动 / 向上,买房,20
第三代,流动 / 向上,定居,9
第三代,迁徙,武汉,37
第三代,迁徙,城市,32
第三代,迁徙,城镇,16
第三代,迁徙,农村,25
第三代,迁徙,搬家,13
第三代,迁徙,工作,57
第三代,迁徙,单位,21
第三代,迁徙,买房,19
第三代,迁徙,老家,28
第三代,迁徙,家乡,17
第三代,历史 / 社会变化,改革开放,22
第三代,历史 / 社会变化,高考恢复,9
第三代,历史 / 社会变化,城市化,18
第三代,历史 / 社会变化,市场经济,10
第三代,历史 / 社会变化,经济发展,024
第三代,历史 / 社会变化,住房改革,8
第四代,恐惧 / 风险,压力,34
第四代,恐惧 / 风险,竞争,39
第四代,恐惧 / 风险,内卷,21
第四代,恐惧 / 风险,就业,31
第四代,恐惧 / 风险,工作,47
第四代,恐惧 / 风险,未来,36
第四代,恐惧 / 风险,房子,15
第四代,恐惧 / 风险,房贷,10
第四代,恐惧 / 风险,收入,22
第四代,恐惧 / 风险,焦虑,17
第四代,恐惧 / 风险,不确定,12
第四代,流动 / 向上,大学,51
第四代,流动 / 向上,留学,36
第四代,流动 / 向上,出国,29
第四代,流动 / 向上,专业,34
第四代,流动 / 向上,申请,27
第四代,流动 / 向上,成绩,22
第四代,流动 / 向上,GPA,14
第四代,流动 / 向上,实习,17
第四代,流动 / 向上,就业,28
第四代,流动 / 向上,机会,31
第四代,流动 / 向上,海外,25
第四代,流动 / 向上,身份,16
第四代,迁徙,留学,38
第四代,迁徙,出国,31
第四代,迁徙,海外,27
第四代,迁徙,加拿大,19
第四代,迁徙,美国,12
第四代,迁徙,大学,48
第四代,迁徙,申请,26
第四代,迁徙,工作,43
第四代,迁徙,就业,29
第四代,迁徙,身份,17
第四代,迁徙,移民,13
第四代,迁徙,回国,7
第四代,历史 / 社会变化,全球化,16
第四代,历史 / 社会变化,互联网,14
第四代,历史 / 社会变化,留学潮,9
第四代,历史 / 社会变化,疫情,13
第四代,历史 / 社会变化,AI,11
第四代,历史 / 社会变化,科技,18
第四代,历史 / 社会变化,就业竞争,20

